Я люблю работу: она захватывает меня целиком. Я могу часами сидеть и смотреть как другие работают.,Джером Клапка Джером
Американцы работают если платят хорошо. Русские работают. Если платят — хорошо.,Владимир Леонидович Туровский
Всегда не хватает времени чтобы выполнить работу как надо но на то чтобы ее переделать время находится.,Закон Мескимена
Никогда не откладывай на завтра то что можешь сделать послезавтра.,Альфонс Алле
Что есть в сущности лентяй: это обыкновенный человек который ленится даже делать вид будто работает.,Альфонс Алле
Работа — последнее прибежище тех кто больше ничего не умеет.,Оскар Уайльд
Кто умеет тот делае а кто не умеет тот учит.,Джордж Бернард Шоу
Меня называют «самый трудолюбивый комик». Не очень впечатляет да? Это все равно что если бы сказали: «Он самый красивый парень… в ожоговом отделении».,Джимми Карр
Когда двое делают одно и то же это уже не одно и то же., Теренций
Большинство людей готовы безмерно трудиться лишь бы избавиться от необходимости немножко подумать., Томас Эдисон
Утомляет не столько сам труд сколько мысли о нем., Марк Фабий Квинтилиан
Я начал с нуля и упорным трудом достиг состояния крайней бедности., Граучо Маркс
Мир состоит из бездельников которые хотят иметь деньги не работая и придурков которые готовы работать не богатея., Бернард Шоу
Просто удивительно насколько важна ваша работа когда нужно отпроситься с нее и насколько она маловажна когда вы просите прибавку в зарплате., Роберт Орбен
Работа — это иной раз нечто вроде рыбной ловли в местах где заведомо не бывает рыбы.,Жюль Ренар
Есть только один вид работы который не вызывает депрессии — это работа которую ты не обязан делать., Жорж Элгози
Лучше пузо от пива чем горб от работы., Михаил Жванецкий
Сытый голодному не товарищ а работодатель., Иван Иванюк
Мне столько всего надо сделать что лучше я пойду спать.,Роберт Бенчли
Работа работой но в этой жизни надо еще и что-то полезное делать., Хенрик Ягодзиньский
Работа не волк – заедает но не кусается., «Пшекруй»
Работа не волк. Зато начальник – зверь., Виктор Коняхин
Работа не волк но и на нее охотники есть., Виктор Сумбатов
Работа работой но надо и что то полезное делать., Хенрик Ягодзиньский
Работа – это разновидность невроза., Дон Херолд
Работа – последнее прибежище тех кто больше ничего не умеет.,Оскар Уайльд
Может быть работа не слишком приятное занятие но куда то ведь надо утром идти.,Янина Ипохорская
Чем тяжелее работа тем легче на нее устроиться.,Константин Мелихан
Труд — это капитал рабочего человека., Гроувер Кливленд
Конечной целью войны служит мир а работы —досуг., Аристотель
В действительности камни мягкие пока вы их не коснулись., Сергей Лазаренко
Как называется эта система ПВО которую россияне используют против нас?, Сергей Лазаренко
Если речь идет о том чтобы больше получать и меньше работать то все мы — члены одного профсоюза., Фрэнк Хаббард
Производительность сизифова труда увеличится если его механизировать и автоматизировать., Владимир Голобородько
Не успеешь найти человека который работает лучше других — а он уже работает как другие., Анри де Монтерлан
Чем меньше работы у персонала тем медленнее она выполняется., Рейфеловский Закон бизнеса
Вся работа выполняется теми кто еще не научился не работать., Аркадий Давидович
Любовь – это дружба с эротическими вкраплениями. Дружба – это искусство..., Антонио Гала
Если увидят что ты не дурак всю работу свалят на тебя. Но если ты действительно не дурак ты этого не допустишь.,Закон Оуэна
Каждый может выполнить сколь угодно большую работу при условии что это не входит в его обязанности., Роберт Бенчли
Люди забудут насколько быстро была сделана работа но не забудут насколько хорошо она сделана., Говард Ньютон
Что сделано достаточно хорошо сделано достаточно быстро., Автор мне неизвестен
Нет работы настолько простой чтобы нельзя было ее запороть., Закон Перрассела
Кто хочет делать — ишет способ кто не хочет —ищет причину., Кто-то знаменитый
Если никто не знает что именно вы делаете никто не знает что вы делаете это не так.,Джонатан Линн и Энтони Джей
Сила женщины в том что её не объяснишь с помощью психологии., Оскар Уайльд
Он делал непонятно что но делал это отлично., Уильям Гилберт
Нет никакого позора в работе: позорно безделье.,Гесиод
Долгая работа относительно приятна., Гастон Башлар
Для людей работа является наслаждением.,Эзоп
Работа вбирает и стыд и боль как губка. Работа обновляет и кожу и кровь души., Ромен Роллан
Самый несчастный из людей тот для кого в мире не оказалось работы., Томас Карлейль
Работа — это моя жизненная функция. Когда я не работаю то не ощущаю в себе никакой жизни., Жюль Верн
Семья без любви — дерево без корней.,Лакская пословица 
Работай когда тебе грустно — это единственное средство разогнать грусть., Иоганнес Роберт Бехер
Работай чтоб не впасть в тоску: ничто так не избавляет от унылой пустоты как работа., Иоганнес Роберт Бехер
Работай когда тебе сопутствует успех: нет иного лекарства против «головокружения» кроме работы., Иоганнес Роберт Бехер
Всякая работа трудна до времени пока ее не полюбишь а потом — она возбуждает и становится легче., Максим Горький
Работа только тогда радостна когда она несомненно нужна., Лев Николаевич Толстой
Работа — это главное в жизни. От всех неприятностей от всех бед можно найти одно избавление — в работе., Эрнест Хемингуэй
Понуждай сам свою работу; не жди чтобы она тебя понуждала., Бенджамин Франклин
Работа — мое первое наслаждение,Вольфганг Амадей Моцарт
Работа необходима для здоровья., Гиппократ
Любовь – это дружба с эротическими вкраплениями., Антонио Гала
Кто не работает тот пусть не ест., Библия
Работа которую мы делаем охотно исцеляет боли., Уильям Шекспир
Труд кончается но хорошо исполненная работа не пропадет., Катон Марк Порций Цензорий
Любимая работа поднимает рано и мы с радостью принимаемся за нее., Уильям Шекспир
Нерадивый в работе своей — брат расточителю., Притчи Соломона
Человек рождается не для того чтобы влачить печальное существование в бездействии а чтобы работать над великим и грандиозным делом., Леон Баттиста Альберти
Если все кажется легким это безошибочно доказывает что работник весьма мало искусен и что работа выше его разумения., Леонардо да Винчи
Разве упав не встают и совратившись с дороги не возвращаются?, Библия
Не оставайтесь должными никому ничем кроме взаимной любви;, Библия
Лучшая работа — это высокооплачиваемое хобби., Американская мудрость
Опять сделали бороду, Сергей Сивак
Куда упадет пылинка на границе двух черных дыр?, Сергей Сивак
Пацаны прикиньте японцы создали силиконовые мозги предназначенные для..., Роман Мельник
Ты знаешь сколько это денег стоит?, Виталий Костюченко
И только Борух говорит: иди, Роман Сарбей
У меня есть человек он все что хочешь из под земли достанет, Роман Сарбей
Мне не в первой я разберусь с этой фигней - дойду домой, Сергей Лазаренко
Триста лет, Сергей Сивак
Да оно триста лет никому не нужно, Сергей Сивак
Сколько лет?, Сергей Лазаренко
Работа есть то чем мы занимаемся когда хотелось бы заняться чем-то другим., Джейме Мэтью Барри
Раз за это платят деньги значит это работа., Данил Рудый
Один мудрый еврей рассказал однажды молодому челоевеку что значит пути Божии...,Роман Сарбей
Нет достижения выше чем сделать неразличимой грань между работой и игрой., Арнолд Тойнби
Я никогда не любил работать. Работа — это вмешательство в личную жизнь., Дэнни Макгурти
Слишком многие у нас живут не работая; и почти столько же — работают не живя., Чарлз Р. Браун